poligono_id,anio,poblacion_estimada,densidad_hab_km2,confianza_inferior,confianza_superior
villa_cabello,2025,12509,4828.9,10007,15011
itaembe_pora,2018,6099,2244.0,4879,7320
itaembe_pora,2019,7425,2731.9,5939,8910
itaembe_pora,2020,7692,2830.1,6153,9231
itaembe_pora,2021,8529,3138.1,6823,10235
itaembe_pora,2022,8628,3174.5,6902,10354
itaembe_pora,2023,8975,3302.2,7179,10770
itaembe_pora,2024,9400,3458.5,7520,11281
itaembe_pora,2025,9542,3510.8,7633,11451
itaembe_mini,2018,2947,2328.2,2357,3537
itaembe_mini,2019,3578,2826.7,2862,4294
itaembe_mini,2020,3718,2937.3,2974,4463
itaembe_mini,2021,4136,3267.5,3308,4964
itaembe_mini,2022,4188,3308.6,3350,5026
itaembe_mini,2023,4357,3442.1,3485,5229
itaembe_mini,2024,4578,3616.7,3662,5494
itaembe_mini,2025,4662,3683.1,3729,5595
aguas_corrientes,2018,10738,5132.9,8590,12886
aguas_corrientes,2019,12335,5896.3,9867,14802
aguas_corrientes,2020,12636,6040.2,10109,15164
aguas_corrientes,2021,13110,6266.7,10488,15733
aguas_corrientes,2022,13255,6336.1,10604,15907
aguas_corrientes,2023,13543,6473.7,10834,16252
aguas_corrientes,2024,14014,6698.9,11211,16818
aguas_corrientes,2025,14132,6755.3,11305,16959
chacra_32,2018,15798,4440.3,12638,18958
chacra_32,2019,19296,5423.4,15436,23156
chacra_32,2020,20029,5629.4,16023,24035
chacra_32,2021,21830,6135.6,17464,26197
chacra_32,2022,22365,6286.0,17891,26838
chacra_32,2023,23097,6491.8,18477,27717
chacra_32,2024,24036,6755.7,19228,28844
chacra_32,2025,24339,6840.8,19471,29208
bajada_vieja,2018,2210,3903.3,1767,2652
bajada_vieja,2019,2517,4445.5,2013,3021
bajada_vieja,2020,2654,4687.5,2123,3185
bajada_vieja,2021,2850,5033.7,2280,3421
bajada_vieja,2022,2863,5056.6,2290,3437
bajada_vieja,2023,2929,5173.2,2342,3515
bajada_vieja,2024,3020,5333.9,2416,3625
bajada_vieja,2025,3033,5356.9,2426,3640
villa_bonita,2018,6033,2435.3,4826,7240
villa_bonita,2019,8019,3237.0,6414,9623
villa_bonita,2020,8351,3371.0,6681,10022
villa_bonita,2021,9028,3644.3,7222,10834
villa_bonita,2022,9305,3756.1,7444,11167
villa_bonita,2023,9915,4002.4,7932,11899
villa_bonita,2024,10547,4257.5,8437,12657
villa_bonita,2025,10913,4405.2,8730,13096
itaembe_guazu,2018,24671,3228.5,19736,29605
itaembe_guazu,2019,27572,3608.1,22057,33087
itaembe_guazu,2020,27972,3660.4,22377,33567
itaembe_guazu,2021,30175,3948.7,24140,36211
itaembe_guazu,2022,32234,4218.1,25787,38682
