poligono_id,fecha,s1_vv_mean_db,s1_vh_mean_db,s1_cross_ratio,delta_vv_mean_db,n_imagenes_vv,n_imagenes_vh,version_script,fecha_calculo
luis_piedrabuena,2023-07,-6.558024291911867,-14.690175063142474,8.132150771230608,0.15460475079117675,7,7,0.1.0,2026-04-27T06:23:03
luis_piedrabuena,2024-07,-6.445918681970061,-14.561545859134073,8.115627177164011,0.11210560994180607,7,7,0.1.0,2026-04-27T06:23:04
luis_piedrabuena,2025-07,-6.49338641736407,-14.509075067359515,8.015688649995445,-0.04746773539400895,8,8,0.1.0,2026-04-27T06:23:06
luis_piedrabuena,2026-07,,,,,0,0,0.1.0,2026-04-27T06:23:06
miguel_lanus,2018-07,-6.755921265972153,-12.758409511747853,6.002488245775701,,8,8,0.1.0,2026-04-27T06:25:31
miguel_lanus,2019-07,-6.721808637990639,-12.470401360157448,5.7485927221668085,0.03411262798151338,2,2,0.1.0,2026-04-27T06:25:32
miguel_lanus,2020-07,-6.017810234527399,-12.239982271025111,6.222172036497712,0.70399840346324,6,6,0.1.0,2026-04-27T06:25:33
miguel_lanus,2021-07,-7.034245770760165,-12.64648019365503,5.612234422894865,-1.0164355362327662,7,7,0.1.0,2026-04-27T06:25:34
miguel_lanus,2022-07,-6.4256494695576105,-11.956689842062293,5.531040372504682,0.6085963012025548,3,3,0.1.0,2026-04-27T06:25:35
miguel_lanus,2023-07,-6.26499402167941,-11.952510254301135,5.687516232621725,0.16065544787820052,7,7,0.1.0,2026-04-27T06:25:36
miguel_lanus,2024-07,-6.208595366963778,-11.940887199209369,5.732291832245591,0.05639865471563166,7,7,0.1.0,2026-04-27T06:25:37
miguel_lanus,2025-07,-6.110855006861454,-11.70487802632438,5.5940230194629255,0.0977403601023239,8,8,0.1.0,2026-04-27T06:25:39
miguel_lanus,2026-07,,,,,0,0,0.1.0,2026-04-27T06:25:40
monsenor_kemerer,2018-07,-5.403112917402567,-14.64654642114665,9.243433503744082,,8,8,0.1.0,2026-04-27T06:23:14
