poligono_id,anio,superficie_construida_km2,superficie_vegetacion_km2,edificios_total,confianza_inferior,confianza_superior
san_isidro,2023,0.0547,0.6444,547,464,630
san_isidro,2024,0.0562,0.6429,562,477,647
san_isidro,2025,0.0573,0.6418,573,487,659
lomas_de_garupa,2018,0.0107,0.8212,107,90,124
lomas_de_garupa,2019,0.0144,0.8175,144,122,166
lomas_de_garupa,2020,0.0157,0.8162,157,133,181
lomas_de_garupa,2021,0.0167,0.8152,167,141,193
lomas_de_garupa,2022,0.0183,0.8136,183,155,211
lomas_de_garupa,2023,0.0193,0.8126,193,164,222
lomas_de_garupa,2024,0.0197,0.8122,197,167,227
lomas_de_garupa,2025,0.0206,0.8113,206,175,237
santa_helena,2018,0.0562,0.905,562,477,647
santa_helena,2019,0.0649,0.8963,649,551,747
santa_helena,2020,0.0668,0.8944,668,567,769
santa_helena,2021,0.0725,0.8887,725,616,834
santa_helena,2022,0.0734,0.8878,734,623,845
santa_helena,2023,0.076,0.8852,760,646,874
santa_helena,2024,0.0784,0.8828,784,666,902
santa_helena,2025,0.0802,0.881,802,681,923
fatima,2018,0.0113,0.831,113,96,130
fatima,2019,0.0146,0.8277,146,124,168
fatima,2020,0.0155,0.8268,155,131,179
fatima,2021,0.017,0.8253,170,144,196
fatima,2022,0.0177,0.8246,177,150,204
fatima,2023,0.019,0.8233,190,161,219
fatima,2024,0.0205,0.8218,205,174,236
fatima,2025,0.0216,0.8207,216,183,249
don_santiago,2018,0.0065,0.2824,65,55,75
don_santiago,2019,0.0117,0.2772,117,99,135
don_santiago,2020,0.0123,0.2766,123,104,142
don_santiago,2021,0.0134,0.2755,134,113,155
don_santiago,2022,0.0138,0.2751,138,117,159
don_santiago,2023,0.0141,0.2748,141,119,163
don_santiago,2024,0.0157,0.2732,157,133,181
don_santiago,2025,0.0163,0.2726,163,138,188
nu_pora,2018,0.0194,0.9472,194,164,224
nu_pora,2019,0.0318,0.9348,318,270,366
nu_pora,2020,0.0336,0.933,336,285,387
nu_pora,2021,0.037,0.9296,370,314,426
nu_pora,2022,0.0382,0.9284,382,324,440
nu_pora,2023,0.0409,0.9257,409,347,471
nu_pora,2024,0.0435,0.9231,435,369,501
nu_pora,2025,0.0462,0.9204,462,392,532
