poligono_id,fecha,tmin_p10,tmin_p50,tmin_p90,tmax_p10,tmax_p50,tmax_p90,precipitation_mm,weather_code,offset_calor_c,offset_frio_c,offset_origen,generated_at
colonia_laosiana,2026-04-28,6.24,8.49,13.54,17.75,20.52,21.61,0.0,0.0,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-04-29,8.15,11.49,17.43,22.75,24.42,25.52,0.0,3.0,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-04-30,11.25,17.34,21.93,24.33,26.37,27.92,0.0,3.0,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-05-01,17.4,20.89,23.83,24.93,29.32,31.32,5.65,63.0,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-05-02,15.85,20.34,23.13,21.92,24.62,26.92,12.3,61.0,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-05-03,10.15,15.89,22.62,18.52,21.27,26.31,0.0,3.0,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-05-04,7.74,12.49,19.83,18.36,22.57,29.81,0.0,,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-05-05,7.69,17.79,21.74,20.67,25.42,30.91,0.0,,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-05-06,11.03,18.59,21.53,20.19,25.77,30.49,0.12,,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-05-07,11.45,18.04,21.12,19.05,24.37,29.52,0.5,,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-05-08,9.56,16.59,21.73,18.13,21.77,28.57,0.7,,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-05-09,8.56,11.79,20.23,16.27,19.87,27.99,0.7,,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
colonia_laosiana,2026-05-10,8.14,10.54,18.74,14.97,19.12,23.58,0.2,,-0.38,-0.06,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-04-27,8.42,10.61,14.71,17.31,19.6,22.69,0.0,2.0,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-04-28,6.21,8.46,13.51,18.13,20.9,21.99,0.0,0.0,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-04-29,8.12,11.46,17.4,23.13,24.8,25.9,0.0,3.0,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-04-30,11.22,17.31,21.9,24.71,26.75,28.3,0.0,3.0,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-05-01,17.37,20.86,23.8,25.31,29.7,31.7,5.65,63.0,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-05-02,15.82,20.31,23.1,22.3,25.0,27.3,12.3,61.0,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-05-03,10.12,15.86,22.59,18.9,21.65,26.69,0.0,3.0,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-05-04,7.71,12.46,19.8,18.74,22.95,30.19,0.0,,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-05-05,7.66,17.76,21.71,21.05,25.8,31.29,0.0,,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-05-06,11.0,18.56,21.5,20.57,26.15,30.87,0.12,,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-05-07,11.42,18.01,21.09,19.43,24.75,29.9,0.5,,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-05-08,9.53,16.56,21.7,18.51,22.15,28.95,0.7,,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-05-09,8.53,11.76,20.2,16.65,20.25,28.37,0.7,,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_gervasio_artigas,2026-05-10,8.11,10.51,18.71,15.35,19.5,23.96,0.2,,0.0,-0.09,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-04-27,9.13,11.32,15.42,19.07,21.36,24.45,0.0,2.0,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-04-28,6.92,9.17,14.22,19.89,22.66,23.75,0.0,0.0,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-04-29,8.83,12.17,18.11,24.89,26.56,27.66,0.0,3.0,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-04-30,11.93,18.02,22.61,26.47,28.51,30.06,0.0,3.0,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-05-01,18.08,21.57,24.51,27.07,31.46,33.46,5.65,63.0,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-05-02,16.53,21.02,23.81,24.06,26.76,29.06,12.3,61.0,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-05-03,10.83,16.57,23.3,20.66,23.41,28.45,0.0,3.0,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-05-04,8.42,13.17,20.51,20.5,24.71,31.95,0.0,,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-05-05,8.37,18.47,22.42,22.81,27.56,33.05,0.0,,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-05-06,11.71,19.27,22.21,22.33,27.91,32.63,0.12,,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-05-07,12.13,18.72,21.8,21.19,26.51,31.66,0.5,,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-05-08,10.24,17.27,22.41,20.27,23.91,30.71,0.7,,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-05-09,9.24,12.47,20.91,18.41,22.01,30.13,0.7,,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
complejo_habitacional_virgen_de_fatima,2026-05-10,8.82,11.22,19.42,17.11,21.26,25.72,0.2,,1.76,0.62,uhi_verano+invierno,2026-04-27T07:14:29
don_santiago,2026-04-27,8.79,10.98,15.08,18.23,20.52,23.61,0.0,2.0,0.92,0.28,uhi_verano+invierno,2026-04-27T07:14:29
don_santiago,2026-04-28,6.58,8.83,13.88,19.05,21.82,22.91,0.0,0.0,0.92,0.28,uhi_verano+invierno,2026-04-27T07:14:29
don_santiago,2026-04-29,8.49,11.83,17.77,24.05,25.72,26.82,0.0,3.0,0.92,0.28,uhi_verano+invierno,2026-04-27T07:14:29
don_santiago,2026-04-30,11.59,17.68,22.27,25.63,27.67,29.22,0.0,3.0,0.92,0.28,uhi_verano+invierno,2026-04-27T07:14:29
don_santiago,2026-05-01,17.74,21.23,24.17,26.23,30.62,32.62,5.65,63.0,0.92,0.28,uhi_verano+invierno,2026-04-27T07:14:29
