poligono_id,fecha,s1_vv_mean_db,s1_vh_mean_db,s1_cross_ratio,delta_vv_mean_db,n_imagenes_vv,n_imagenes_vh,version_script,fecha_calculo
centro,2026-07,,,,,0,0,0.1.0,2026-04-28T09:52:50
chacra_32,2018-07,-2.989311932021626,-12.606264367133734,9.616952435112108,,8,8,0.1.0,2026-04-28T09:53:54
chacra_32,2019-07,-2.7105098302577755,-12.29715435941432,9.586644529156544,0.27880210176385045,2,2,0.1.0,2026-04-28T09:53:55
chacra_32,2020-07,-2.197863370142967,-11.710135129927576,9.512271759784609,0.5126464601148086,6,6,0.1.0,2026-04-28T09:53:56
chacra_32,2021-07,-2.777256781113955,-12.42079141811699,9.643534637003034,-0.579393410970988,7,7,0.1.0,2026-04-28T09:53:57
chacra_32,2022-07,-2.682174257004642,-12.18954777269558,9.50737351569094,0.09508252410931295,3,3,0.1.0,2026-04-28T09:53:58
chacra_32,2023-07,-2.676060767716957,-12.18218695748325,9.506126189766292,0.00611348928768507,7,7,0.1.0,2026-04-28T09:53:59
chacra_32,2024-07,-2.47868032757499,-12.086838277617444,9.608157950042454,0.19738044014196676,7,7,0.1.0,2026-04-28T09:54:00
chacra_32,2025-07,-2.597751061066683,-11.811892135469208,9.214141074402525,-0.11907073349169295,8,8,0.1.0,2026-04-28T09:54:00
chacra_32,2026-07,,,,,0,0,0.1.0,2026-04-28T09:54:02
cima_del_sol,2018-07,-8.501850211775825,-16.642275469082392,8.140425257306568,,8,8,0.1.0,2026-04-28T09:51:23
cima_del_sol,2019-07,-8.314703167333468,-16.0706030192703,7.755899851936833,0.18714704444235686,2,2,0.1.0,2026-04-28T09:51:24
cima_del_sol,2020-07,-7.221364126040527,-15.108760942736648,7.887396816696121,1.093339041292941,6,6,0.1.0,2026-04-28T09:51:25
cima_del_sol,2021-07,-8.093183833344536,-16.332910644175744,8.239726810831208,-0.8718197073040095,7,7,0.1.0,2026-04-28T09:51:25
