poligono_id,anio,no2_mean_mol_m2,no2_relativo_bbox
nemesio_parma,2023,1.372724e-05,1.0259
nemesio_parma,2024,1.343935e-05,1.0711
nemesio_parma,2025,1.337155e-05,1.0262
villa_cabello,2019,1.540775e-05,1.2098
villa_cabello,2020,1.353560e-05,1.1737
villa_cabello,2021,1.781802e-05,1.3719
villa_cabello,2022,1.636495e-05,1.2705
villa_cabello,2023,1.590281e-05,1.1885
villa_cabello,2024,1.570529e-05,1.2517
villa_cabello,2025,1.612645e-05,1.2376
itaembe_pora,2019,1.205881e-05,0.9468
itaembe_pora,2020,1.242866e-05,1.0777
itaembe_pora,2021,1.313747e-05,1.0115
itaembe_pora,2022,1.285791e-05,0.9982
itaembe_pora,2023,1.394559e-05,1.0422
itaembe_pora,2024,1.204939e-05,0.9603
itaembe_pora,2025,1.352084e-05,1.0376
itaembe_mini,2019,1.342738e-05,1.0543
itaembe_mini,2020,1.255202e-05,1.0884
itaembe_mini,2021,1.469360e-05,1.1313
itaembe_mini,2022,1.397007e-05,1.0846
itaembe_mini,2023,1.474830e-05,1.1022
itaembe_mini,2024,1.307027e-05,1.0417
itaembe_mini,2025,1.415859e-05,1.0866
aguas_corrientes,2019,1.570485e-05,1.2331
aguas_corrientes,2020,1.325069e-05,1.149
aguas_corrientes,2021,1.659902e-05,1.278
aguas_corrientes,2022,1.667229e-05,1.2944
aguas_corrientes,2023,1.651367e-05,1.2342
aguas_corrientes,2024,1.558770e-05,1.2424
aguas_corrientes,2025,1.506272e-05,1.156
chacra_32,2019,1.437396e-05,1.1286
chacra_32,2020,1.260001e-05,1.0925
chacra_32,2021,1.471662e-05,1.1331
chacra_32,2022,1.459312e-05,1.1329
chacra_32,2023,1.615762e-05,1.2075
chacra_32,2024,1.466621e-05,1.1689
chacra_32,2025,1.375394e-05,1.0555
bajada_vieja,2019,1.635391e-05,1.2841
bajada_vieja,2020,1.326558e-05,1.1503
bajada_vieja,2021,1.589623e-05,1.2239
bajada_vieja,2022,1.599433e-05,1.2417
bajada_vieja,2023,1.574779e-05,1.1769
bajada_vieja,2024,1.536002e-05,1.2242
bajada_vieja,2025,1.517184e-05,1.1643
villa_bonita,2019,1.234120e-05,0.969
villa_bonita,2020,1.105761e-05,0.9588
villa_bonita,2021,1.277544e-05,0.9836
villa_bonita,2022,1.337495e-05,1.0384
villa_bonita,2023,1.360453e-05,1.0167
villa_bonita,2024,1.165129e-05,0.9286
villa_bonita,2025,1.301245e-05,0.9986
itaembe_guazu,2019,1.338166e-05,1.0507
itaembe_guazu,2020,1.231982e-05,1.0682
itaembe_guazu,2021,1.319500e-05,1.0159
itaembe_guazu,2022,1.295973e-05,1.0061
itaembe_guazu,2023,1.327337e-05,0.992
itaembe_guazu,2024,1.257982e-05,1.0026
itaembe_guazu,2025,1.384164e-05,1.0623
posadas_completa,2019,1.386489e-05,1.0886
posadas_completa,2020,1.249158e-05,1.0831
posadas_completa,2021,1.456098e-05,1.1211
posadas_completa,2022,1.411906e-05,1.0961
posadas_completa,2023,1.474315e-05,1.1018
posadas_completa,2024,1.363471e-05,1.0867
posadas_completa,2025,1.396747e-05,1.0719
