poligono_id,anio,estacion,uhi_vs_rural_mean,uhi_vs_ciudad_mean,lst_mean,n_meses
chacra_32,2022,invierno,2.6,0.91,23.13,2
chacra_32,2022,otono,2.02,0.88,27.61,3
chacra_32,2022,primavera,3.52,1.66,34.03,3
chacra_32,2022,verano,5.59,2.29,46.1,2
chacra_32,2023,invierno,1.21,0.36,26.24,3
chacra_32,2023,otono,2.7,1.1,30.97,3
chacra_32,2023,primavera,5.01,2.14,37.28,3
chacra_32,2023,verano,3.27,1.98,43.61,3
chacra_32,2024,invierno,2.66,1.35,20.53,3
chacra_32,2024,otono,1.73,1.3,30.29,3
chacra_32,2024,primavera,6.15,2.7,36.39,3
chacra_32,2024,verano,8.36,3.04,45.84,3
chacra_32,2025,invierno,1.21,0.39,18.13,3
chacra_32,2025,otono,1.73,0.94,29.9,3
chacra_32,2025,primavera,5.76,2.53,36.13,3
chacra_32,2025,verano,5.47,2.86,43.72,3
chacra_32,2026,otono,7.03,2.58,40.4,1
chacra_32,2026,verano,5.96,2.9,43.5,3
cima_del_sol,2018,invierno,0.22,-0.04,22.07,1
cima_del_sol,2018,otono,0.76,-0.2,29.53,3
cima_del_sol,2018,primavera,0.75,-1.54,32.33,3
cima_del_sol,2018,verano,-1.39,-1.4,33.8,1
cima_del_sol,2019,invierno,0.27,-0.47,22.0,2
cima_del_sol,2019,otono,2.7,0.03,33.49,2
cima_del_sol,2019,primavera,2.68,-0.75,33.65,3
cima_del_sol,2019,verano,0.65,-2.31,36.1,2
cima_del_sol,2020,invierno,-0.09,-0.62,22.48,1
cima_del_sol,2020,otono,1.84,-0.62,26.39,3
cima_del_sol,2020,primavera,-0.1,-1.12,38.66,2
cima_del_sol,2020,verano,1.36,-1.44,37.4,2
cima_del_sol,2021,invierno,-1.23,-0.88,18.0,2
cima_del_sol,2021,otono,-0.8,-0.71,30.28,3
cima_del_sol,2021,primavera,1.1,-1.75,33.96,3
cima_del_sol,2021,verano,0.55,-1.14,39.48,2
cima_del_sol,2022,invierno,1.46,-0.24,21.98,2
cima_del_sol,2022,otono,0.58,-0.56,26.17,3
cima_del_sol,2022,primavera,0.79,-1.08,31.3,3
cima_del_sol,2022,verano,2.39,-0.91,42.9,2
cima_del_sol,2023,invierno,-0.19,-1.03,24.85,3
cima_del_sol,2023,otono,0.97,-0.64,29.24,3
cima_del_sol,2023,primavera,1.76,-1.11,34.02,3
cima_del_sol,2023,verano,-0.35,-1.64,39.99,3
cima_del_sol,2024,invierno,1.63,0.32,19.5,3
cima_del_sol,2024,otono,-0.01,-0.44,28.55,3
cima_del_sol,2024,primavera,2.63,-0.83,32.87,3
cima_del_sol,2024,verano,3.0,-2.32,40.48,3
cima_del_sol,2025,invierno,0.23,-0.59,17.15,3
cima_del_sol,2025,otono,-0.13,-0.92,28.04,3
cima_del_sol,2025,primavera,1.08,-2.14,31.46,3
cima_del_sol,2025,verano,0.86,-1.75,39.11,3
cima_del_sol,2026,otono,4.94,0.49,38.31,1
cima_del_sol,2026,verano,1.67,-1.39,39.21,3
colonia_laosiana,2018,invierno,0.32,0.06,22.17,1
colonia_laosiana,2018,otono,-1.56,-2.52,27.21,3
colonia_laosiana,2018,primavera,0.25,-2.04,31.83,3
colonia_laosiana,2018,verano,-3.31,-3.32,31.88,1
colonia_laosiana,2019,invierno,0.09,-0.65,21.81,2
colonia_laosiana,2019,otono,-0.68,-3.36,30.11,2
colonia_laosiana,2019,primavera,1.17,-2.27,32.14,3
colonia_laosiana,2019,verano,-3.98,-6.94,31.46,2
colonia_laosiana,2020,invierno,0.14,-0.39,22.71,1
colonia_laosiana,2020,otono,1.74,-0.71,26.29,3
colonia_laosiana,2020,primavera,-0.16,-1.18,38.61,2
colonia_laosiana,2020,verano,-0.86,-3.66,35.18,2
colonia_laosiana,2021,invierno,-0.84,-0.49,18.39,2
colonia_laosiana,2021,otono,-2.58,-2.49,28.5,3
colonia_laosiana,2021,primavera,-0.27,-3.13,32.58,3
colonia_laosiana,2021,verano,-0.68,-2.36,38.25,2
colonia_laosiana,2022,invierno,0.72,-0.97,21.25,2
colonia_laosiana,2022,otono,0.12,-1.02,25.71,3
colonia_laosiana,2022,primavera,-0.99,-2.85,29.52,3
colonia_laosiana,2022,verano,0.7,-2.6,41.21,2
colonia_laosiana,2023,invierno,1.49,0.64,26.52,3
colonia_laosiana,2023,otono,-0.58,-2.19,27.69,3
colonia_laosiana,2023,primavera,0.08,-2.79,32.34,3
colonia_laosiana,2023,verano,-2.39,-3.68,37.94,3
colonia_laosiana,2024,invierno,1.06,-0.24,18.94,3
colonia_laosiana,2024,otono,-1.73,-2.16,26.83,3
colonia_laosiana,2024,primavera,1.14,-2.32,31.38,3
colonia_laosiana,2024,verano,0.15,-5.17,37.64,3
colonia_laosiana,2025,invierno,-0.32,-1.14,16.59,3
colonia_laosiana,2025,otono,-0.57,-1.36,27.6,3
colonia_laosiana,2025,primavera,-0.78,-4.0,29.6,3
colonia_laosiana,2025,verano,0.95,-1.66,39.2,3
colonia_laosiana,2026,otono,2.58,-1.87,35.95,1
colonia_laosiana,2026,verano,-1.14,-4.2,36.4,3
complejo_gervasio_artigas,2018,invierno,-0.7,-0.96,21.15,1
complejo_gervasio_artigas,2018,otono,-0.06,-1.01,28.71,3
complejo_gervasio_artigas,2018,primavera,0.22,-2.08,31.8,3
complejo_gervasio_artigas,2018,verano,0.12,0.11,35.31,1
complejo_gervasio_artigas,2019,invierno,-0.44,-1.18,21.28,2
complejo_gervasio_artigas,2019,otono,0.46,-2.22,31.26,2
complejo_gervasio_artigas,2019,primavera,-0.95,-4.38,30.02,3
complejo_gervasio_artigas,2019,verano,-0.52,-4.97,36.3,1
complejo_gervasio_artigas,2020,invierno,-0.16,-0.69,22.41,1
complejo_gervasio_artigas,2020,otono,-2.7,-5.15,21.85,3
complejo_gervasio_artigas,2020,primavera,0.1,-0.92,38.86,2
complejo_gervasio_artigas,2020,verano,0.26,-2.54,36.3,2
complejo_gervasio_artigas,2021,invierno,-0.04,0.13,22.36,1
complejo_gervasio_artigas,2021,otono,-0.3,-0.35,34.22,2
complejo_gervasio_artigas,2021,primavera,0.38,-2.47,33.24,3
complejo_gervasio_artigas,2021,verano,0.53,-1.28,43.05,1
complejo_gervasio_artigas,2022,invierno,-0.52,-2.22,20.0,2
complejo_gervasio_artigas,2022,otono,0.01,-1.13,25.6,3
complejo_gervasio_artigas,2022,primavera,0.46,-1.4,30.97,3
complejo_gervasio_artigas,2022,verano,-0.44,-3.74,40.06,2
complejo_gervasio_artigas,2023,invierno,-2.3,-3.14,22.74,3
complejo_gervasio_artigas,2023,otono,0.21,-1.4,28.47,3
complejo_gervasio_artigas,2023,primavera,0.45,-2.43,32.71,3
complejo_gervasio_artigas,2023,verano,-0.11,-1.4,40.22,3
complejo_gervasio_artigas,2024,invierno,-0.48,-1.2,18.44,2
complejo_gervasio_artigas,2024,otono,0.86,0.42,29.41,3
complejo_gervasio_artigas,2024,primavera,-0.14,-3.6,30.1,3
complejo_gervasio_artigas,2024,verano,1.25,-3.44,37.84,2
complejo_gervasio_artigas,2025,invierno,-0.47,-1.29,16.44,3
complejo_gervasio_artigas,2025,otono,-0.53,-1.1,31.02,2
complejo_gervasio_artigas,2025,primavera,0.2,-2.24,28.58,2
complejo_gervasio_artigas,2025,verano,-0.61,-3.22,37.64,3
complejo_gervasio_artigas,2026,verano,0.01,-3.05,37.55,3
complejo_habitacional_virgen_de_fatima,2018,invierno,1.01,0.75,22.86,1
complejo_habitacional_virgen_de_fatima,2018,otono,2.4,1.44,31.17,3
complejo_habitacional_virgen_de_fatima,2018,primavera,3.9,1.61,35.48,3
complejo_habitacional_virgen_de_fatima,2018,verano,1.49,1.48,36.68,1
complejo_habitacional_virgen_de_fatima,2019,invierno,2.94,2.2,24.66,2
complejo_habitacional_virgen_de_fatima,2019,otono,3.45,0.77,34.24,2
complejo_habitacional_virgen_de_fatima,2019,primavera,5.48,2.05,36.45,3
complejo_habitacional_virgen_de_fatima,2019,verano,6.48,3.53,41.94,2
complejo_habitacional_virgen_de_fatima,2020,invierno,1.05,0.52,23.62,1
complejo_habitacional_virgen_de_fatima,2020,otono,3.81,1.36,28.37,3
complejo_habitacional_virgen_de_fatima,2020,primavera,2.46,1.44,41.22,2
complejo_habitacional_virgen_de_fatima,2020,verano,4.85,2.04,40.89,2
