poligono_id,anio,mes,lst_mean,uhi_vs_rural,uhi_vs_ciudad,uhi_anomalia,lst_rural_baseline,n_observaciones_historico,std_historico,fuente_lst,confianza_cross_sensor
puerto_canela,2018,5,23.95,1.09,0.62,,22.86,0,,landsat,
villa_dolores,2018,5,23.78,0.93,0.45,,22.86,0,,landsat,
dm_itaembe_mini_este_suroeste,2018,5,23.32,0.46,-0.01,,22.86,0,,landsat,
los_patitos,2018,5,23.38,0.52,0.05,,22.86,0,,landsat,
cit_riberas_del_parana_oeste,2018,5,23.2,0.34,-0.13,,22.86,0,,landsat,
san_martin_sureste,2018,5,23.25,0.39,-0.08,,22.86,0,,landsat,
horacio_quiroga,2018,5,22.13,-0.73,-1.2,,22.86,0,,landsat,
la_eugenia,2018,5,23.52,0.66,0.19,,22.86,0,,landsat,
dm_villa_urquiza_sureste,2018,5,21.57,-1.28,-1.76,,22.86,0,,landsat,
el_portal,2018,5,23.33,0.47,0.0,,22.86,0,,landsat,
porvenir_2,2018,5,23.41,0.55,0.08,,22.86,0,,landsat,
a_3_2_sector_b,2018,8,22.24,0.39,0.14,,21.85,0,,landsat,
colonia_laosiana,2018,8,22.17,0.32,0.07,,21.85,0,,landsat,
23_de_septiembre,2018,8,22.74,0.89,0.64,,21.85,0,,landsat,
villa_mola,2018,8,22.91,1.06,0.81,,21.85,0,,landsat,
san_marcos,2018,8,19.66,-2.19,-2.44,,21.85,0,,landsat,
las_dolores,2018,8,22.81,0.96,0.71,,21.85,0,,landsat,
el_palomar,2018,8,21.72,-0.13,-0.38,,21.85,0,,landsat,
alta_gracia,2018,8,21.68,-0.17,-0.42,,21.85,0,,landsat,
santa_rita,2018,8,22.05,0.2,-0.05,,21.85,0,,landsat,
san_martin,2018,8,21.9,0.05,-0.2,,21.85,0,,landsat,
villa_sarita,2018,8,21.11,-0.74,-0.99,,21.85,0,,landsat,
el_brete,2018,8,22.21,0.36,0.11,,21.85,0,,landsat,
luis_piedrabuena,2018,8,22.31,0.46,0.21,,21.85,0,,landsat,
san_lucas,2018,8,21.89,0.04,-0.21,,21.85,0,,landsat,
monsenor_kemerer,2018,8,22.3,0.45,0.2,,21.85,0,,landsat,
rocamora,2018,8,21.71,-0.14,-0.39,,21.85,0,,landsat,
yacyreta,2018,8,22.06,0.21,-0.04,,21.85,0,,landsat,
villa_urquiza,2018,8,22.41,0.56,0.31,,21.85,0,,landsat,
complejo_habitacional_virgen_de_fatima,2018,8,22.86,1.01,0.76,,21.85,0,,landsat,
a4_nueva_esperanza,2018,8,24.3,2.45,2.2,,21.85,0,,landsat,
el_laurel,2018,8,21.0,-0.85,-1.1,,21.85,0,,landsat,
cima_del_sol,2018,8,22.07,0.22,-0.03,,21.85,0,,landsat,
san_isidro,2018,8,22.47,0.62,0.37,,21.85,0,,landsat,
lomas_de_garupa,2018,8,22.62,0.77,0.52,,21.85,0,,landsat,
santa_helena,2018,8,21.87,0.02,-0.23,,21.85,0,,landsat,
fatima,2018,8,22.21,0.36,0.11,,21.85,0,,landsat,
don_santiago,2018,8,20.87,-0.98,-1.23,,21.85,0,,landsat,
nu_pora,2018,8,21.8,-0.05,-0.3,,21.85,0,,landsat,
miguel_lanus,2018,8,22.33,0.48,0.23,,21.85,0,,landsat,
norte,2018,8,20.75,-1.1,-1.35,,21.85,0,,landsat,
centro,2018,8,22.52,0.67,0.42,,21.85,0,,landsat,
complejo_gervasio_artigas,2018,8,21.15,-0.7,-0.95,,21.85,0,,landsat,
federal,2018,8,22.03,0.18,-0.07,,21.85,0,,landsat,
nemesio_parma,2018,8,22.78,0.93,0.68,,21.85,0,,landsat,
villa_cabello,2018,8,22.1,0.25,0.0,,21.85,0,,landsat,
itaembe_pora,2018,8,22.41,0.56,0.31,,21.85,0,,landsat,
itaembe_mini,2018,8,23.13,1.28,1.03,,21.85,0,,landsat,
aguas_corrientes,2018,8,21.84,-0.01,-0.26,,21.85,0,,landsat,
chacra_32,2018,8,22.81,0.96,0.71,,21.85,0,,landsat,
villa_bonita,2018,8,22.02,0.17,-0.08,,21.85,0,,landsat,
itaembe_guazu,2018,8,22.42,0.57,0.32,,21.85,0,,landsat,
posadas_completa,2018,8,22.34,0.49,0.24,,21.85,0,,landsat,
dm_santa_rita,2018,8,22.29,0.44,0.19,,21.85,0,,landsat,
dm_itaembe_mini_este,2018,8,22.07,0.22,-0.03,,21.85,0,,landsat,
dm_miguel_lanus,2018,8,21.61,-0.24,-0.49,,21.85,0,,landsat,
cit_riberas_del_parana,2018,8,22.19,0.34,0.09,,21.85,0,,landsat,
dm_villa_urquiza,2018,8,22.53,0.68,0.43,,21.85,0,,landsat,
dm_santa_rita_suroeste,2018,8,22.13,0.28,0.03,,21.85,0,,landsat,
puerto_canela,2018,8,22.35,0.5,0.25,,21.85,0,,landsat,
villa_dolores,2018,8,22.63,0.78,0.53,,21.85,0,,landsat,
dm_itaembe_mini_este_suroeste,2018,8,22.22,0.37,0.12,,21.85,0,,landsat,
los_patitos,2018,8,22.06,0.21,-0.04,,21.85,0,,landsat,
cit_riberas_del_parana_oeste,2018,8,21.71,-0.14,-0.39,,21.85,0,,landsat,
san_martin_sureste,2018,8,21.81,-0.04,-0.29,,21.85,0,,landsat,
horacio_quiroga,2018,8,21.45,-0.4,-0.65,,21.85,0,,landsat,
la_eugenia,2018,8,21.53,-0.32,-0.57,,21.85,0,,landsat,
dm_villa_urquiza_sureste,2018,8,23.22,1.37,1.12,,21.85,0,,landsat,
el_portal,2018,8,21.17,-0.68,-0.93,,21.85,0,,landsat,
porvenir_2,2018,8,22.11,0.26,0.01,,21.85,0,,landsat,
a_3_2_sector_b,2018,9,31.22,0.65,0.39,,30.57,0,,landsat,
colonia_laosiana,2018,9,31.54,0.97,0.71,,30.57,0,,landsat,
23_de_septiembre,2018,9,32.35,1.78,1.52,,30.57,0,,landsat,
villa_mola,2018,9,30.83,0.26,0.0,,30.57,0,,landsat,
san_marcos,2018,9,29.39,-1.18,-1.44,,30.57,0,,landsat,
las_dolores,2018,9,31.25,0.68,0.42,,30.57,0,,landsat,
el_palomar,2018,9,31.23,0.66,0.4,,30.57,0,,landsat,
alta_gracia,2018,9,30.4,-0.17,-0.43,,30.57,0,,landsat,
santa_rita,2018,9,30.93,0.36,0.1,,30.57,0,,landsat,
