poligono_id,fecha,n_edificios_min,n_edificios_estimado,n_edificios_max
villa_bonita,2019-07,614,723,832
villa_bonita,2020-07,640,753,866
villa_bonita,2021-07,691,814,937
villa_bonita,2022-07,713,839,965
villa_bonita,2023-07,759,894,1029
villa_bonita,2024-07,808,951,1094
villa_bonita,2025-07,836,984,1132
itaembe_guazu,2018-07,5825,6853,7881
itaembe_guazu,2019-07,6510,7659,8808
itaembe_guazu,2020-07,6604,7770,8936
itaembe_guazu,2021-07,7124,8382,9640
itaembe_guazu,2022-07,7610,8954,10298
itaembe_guazu,2023-07,7678,9033,10388
itaembe_guazu,2024-07,7684,9041,10398
itaembe_guazu,2025-07,7686,9043,10400
