poligono_id,anio,estacion,uhi_vs_rural_mean,uhi_vs_ciudad_mean,lst_mean,n_meses
colonia_laosiana,2022,invierno,0.72,-0.94,21.25,2
colonia_laosiana,2022,otono,0.12,-0.94,25.71,3
colonia_laosiana,2022,primavera,-0.99,-2.63,29.52,3
colonia_laosiana,2022,verano,1.83,-0.33,42.23,3
colonia_laosiana,2023,invierno,1.49,0.66,26.52,3
colonia_laosiana,2023,otono,-0.58,-2.1,27.69,3
colonia_laosiana,2023,primavera,0.08,-2.54,32.34,3
colonia_laosiana,2023,verano,-2.39,-3.57,37.94,3
colonia_laosiana,2024,invierno,1.06,-0.29,18.94,3
colonia_laosiana,2024,otono,-1.73,-2.14,26.83,3
colonia_laosiana,2024,primavera,1.14,-2.11,31.38,3
colonia_laosiana,2024,verano,0.15,-4.88,37.64,3
colonia_laosiana,2025,invierno,-0.32,-1.07,16.59,3
colonia_laosiana,2025,otono,-0.57,-1.26,27.6,3
colonia_laosiana,2025,primavera,-0.78,-3.79,29.6,3
colonia_laosiana,2025,verano,0.95,-1.44,39.2,3
colonia_laosiana,2026,otono,2.58,-1.92,35.95,1
colonia_laosiana,2026,verano,-1.14,-3.99,36.4,3
complejo_gervasio_artigas,2018,invierno,-0.7,-0.95,21.15,1
complejo_gervasio_artigas,2018,otono,-0.06,-0.92,28.71,3
complejo_gervasio_artigas,2018,primavera,0.22,-1.9,31.8,3
complejo_gervasio_artigas,2018,verano,0.12,0.3,35.31,1
complejo_gervasio_artigas,2019,invierno,-0.44,-1.11,21.28,2
complejo_gervasio_artigas,2019,otono,0.46,-2.04,31.26,2
complejo_gervasio_artigas,2019,primavera,-0.95,-4.16,30.02,3
complejo_gervasio_artigas,2019,verano,-0.52,-4.8,36.3,1
complejo_gervasio_artigas,2020,invierno,-0.16,-0.65,22.41,1
complejo_gervasio_artigas,2020,otono,-2.7,-5.05,21.85,3
complejo_gervasio_artigas,2020,primavera,0.1,-0.79,38.86,2
complejo_gervasio_artigas,2020,verano,0.26,-2.36,36.3,2
complejo_gervasio_artigas,2021,invierno,-0.04,0.14,22.36,1
complejo_gervasio_artigas,2021,otono,-0.3,-0.24,34.22,2
complejo_gervasio_artigas,2021,primavera,0.38,-2.26,33.24,3
complejo_gervasio_artigas,2021,verano,0.53,-1.17,43.05,1
complejo_gervasio_artigas,2022,invierno,-0.52,-2.18,20.0,2
complejo_gervasio_artigas,2022,otono,0.01,-1.06,25.6,3
complejo_gervasio_artigas,2022,primavera,0.46,-1.18,30.97,3
complejo_gervasio_artigas,2022,verano,-0.27,-2.42,40.14,3
complejo_gervasio_artigas,2023,invierno,-2.3,-3.13,22.74,3
complejo_gervasio_artigas,2023,otono,0.21,-1.32,28.47,3
complejo_gervasio_artigas,2023,primavera,0.45,-2.17,32.71,3
complejo_gervasio_artigas,2023,verano,-0.11,-1.29,40.22,3
complejo_gervasio_artigas,2024,invierno,-0.48,-1.25,18.44,2
complejo_gervasio_artigas,2024,otono,0.86,0.45,29.41,3
complejo_gervasio_artigas,2024,primavera,-0.14,-3.39,30.1,3
complejo_gervasio_artigas,2024,verano,1.25,-3.2,37.84,2
complejo_gervasio_artigas,2025,invierno,-0.47,-1.22,16.44,3
complejo_gervasio_artigas,2025,otono,-0.53,-1.04,31.02,2
complejo_gervasio_artigas,2025,primavera,0.2,-2.04,28.58,2
complejo_gervasio_artigas,2025,verano,-0.61,-3.0,37.64,3
complejo_gervasio_artigas,2026,verano,0.01,-2.84,37.55,3
complejo_habitacional_virgen_de_fatima,2018,invierno,1.01,0.76,22.86,1
complejo_habitacional_virgen_de_fatima,2018,otono,2.4,1.54,31.17,3
complejo_habitacional_virgen_de_fatima,2018,primavera,3.9,1.79,35.48,3
complejo_habitacional_virgen_de_fatima,2018,verano,1.49,1.67,36.68,1
complejo_habitacional_virgen_de_fatima,2019,invierno,2.94,2.28,24.66,2
complejo_habitacional_virgen_de_fatima,2019,otono,3.45,0.95,34.24,2
complejo_habitacional_virgen_de_fatima,2019,primavera,5.48,2.27,36.45,3
complejo_habitacional_virgen_de_fatima,2019,verano,6.48,3.89,41.94,2
complejo_habitacional_virgen_de_fatima,2020,invierno,1.05,0.56,23.62,1
complejo_habitacional_virgen_de_fatima,2020,otono,3.81,1.46,28.37,3
complejo_habitacional_virgen_de_fatima,2020,primavera,2.46,1.56,41.22,2
complejo_habitacional_virgen_de_fatima,2020,verano,4.85,2.24,40.89,2
complejo_habitacional_virgen_de_fatima,2021,invierno,0.08,0.26,22.48,1
complejo_habitacional_virgen_de_fatima,2021,otono,1.6,1.67,36.12,2
complejo_habitacional_virgen_de_fatima,2021,primavera,4.94,2.29,37.79,3
complejo_habitacional_virgen_de_fatima,2021,verano,3.42,1.9,42.34,2
complejo_habitacional_virgen_de_fatima,2022,invierno,1.5,-0.16,22.03,2
complejo_habitacional_virgen_de_fatima,2022,otono,1.86,0.79,27.44,3
complejo_habitacional_virgen_de_fatima,2022,primavera,4.53,2.89,35.03,3
complejo_habitacional_virgen_de_fatima,2022,verano,3.72,1.57,44.13,3
complejo_habitacional_virgen_de_fatima,2023,invierno,2.3,1.83,28.83,2
complejo_habitacional_virgen_de_fatima,2023,otono,2.83,1.31,31.1,3
complejo_habitacional_virgen_de_fatima,2023,primavera,5.6,2.97,37.86,3
complejo_habitacional_virgen_de_fatima,2023,verano,2.8,1.62,43.13,3
complejo_habitacional_virgen_de_fatima,2024,invierno,-0.36,-1.12,18.56,2
complejo_habitacional_virgen_de_fatima,2024,otono,0.41,0.0,28.97,3
complejo_habitacional_virgen_de_fatima,2024,primavera,4.14,0.89,34.38,3
complejo_habitacional_virgen_de_fatima,2024,verano,7.21,2.18,44.69,3
complejo_habitacional_virgen_de_fatima,2025,invierno,3.11,2.36,20.03,3
complejo_habitacional_virgen_de_fatima,2025,otono,3.18,2.49,31.35,3
complejo_habitacional_virgen_de_fatima,2025,primavera,5.31,2.29,35.68,3
complejo_habitacional_virgen_de_fatima,2025,verano,5.19,2.8,43.44,3
complejo_habitacional_virgen_de_fatima,2026,otono,7.98,3.48,41.35,1
complejo_habitacional_virgen_de_fatima,2026,verano,5.32,2.47,42.86,3
dm_itaembe_mini_este,2018,invierno,0.22,-0.03,22.07,1
